2026-04-21 17:48:26,926 | INFO | telegram.ext.Application | Application started
2026-04-21 17:48:27,091 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/deleteWebhook "HTTP/1.1 200 OK"
2026-04-21 17:48:27,092 | INFO | app.bot.bot | Telegram bot polling started.
2026-04-21 17:48:37,388 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:48:47,550 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:48:57,685 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:49:07,821 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:49:17,949 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:49:28,080 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:49:38,205 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:49:48,345 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:49:58,473 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
2026-04-21 17:50:08,589 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8457963676:AAEzi9pyPlNoW7F2F71MFSl0eBxX2W0TXfM/getUpdates "HTTP/1.1 200 OK"
